sector1,sector2,correlation,num_stocks_sector1,num_stocks_sector2,relationship_type,layer
mega_banks,investment_banks,0.7391,24,16,sector_correlation,market
mega_banks,insurance,0.48,24,24,sector_correlation,market
mega_banks,credit_payments,0.3132,24,16,sector_correlation,market
mega_banks,fintech,0.3706,24,16,sector_correlation,market
mega_banks,reits,0.4518,24,24,sector_correlation,market
mega_banks,mortgage_servicers,0.6563,24,16,sector_correlation,market
investment_banks,insurance,0.7826,16,24,sector_correlation,market
investment_banks,credit_payments,0.5921,16,16,sector_correlation,market
investment_banks,fintech,0.5234,16,16,sector_correlation,market
investment_banks,reits,0.3871,16,24,sector_correlation,market
investment_banks,mortgage_servicers,0.6415,16,16,sector_correlation,market
insurance,credit_payments,0.6219,24,16,sector_correlation,market
insurance,fintech,0.5634,24,16,sector_correlation,market
insurance,reits,0.5577,24,24,sector_correlation,market
insurance,mortgage_servicers,0.6837,24,16,sector_correlation,market
credit_payments,fintech,0.6444,16,16,sector_correlation,market
credit_payments,reits,0.6755,16,24,sector_correlation,market
credit_payments,mortgage_servicers,0.7973,16,16,sector_correlation,market
fintech,reits,0.5508,16,24,sector_correlation,market
fintech,mortgage_servicers,0.3356,16,16,sector_correlation,market
reits,mortgage_servicers,0.6055,24,16,sector_correlation,market
