date,symbol,event_type,return,close_price,volume,severity,layer
2024-04-12,JPM,large_drop,-0.0647,176.9300994873047,31532300,medium,market
2024-09-10,JPM,large_drop,-0.0519,200.07264709472656,28406900,medium,market
2024-11-06,JPM,large_gain,0.1154,241.93841552734375,23987800,high,market
2025-04-03,JPM,large_drop,-0.0697,225.10585021972656,17188500,medium,market
2025-04-04,JPM,large_drop,-0.0748,208.25930786132812,27170700,medium,market
2025-04-09,JPM,large_gain,0.0806,232.0880889892578,24022400,medium,market
2024-11-06,JPM,high_volatility,0.1154,241.93841552734375,23987800,medium,market
2024-11-07,JPM,high_volatility,-0.0432,231.47982788085938,16451100,medium,market
2024-11-08,JPM,high_volatility,0.0025,232.0673828125,9502100,medium,market
2024-11-11,JPM,high_volatility,0.0097,234.3294677734375,9017100,medium,market
2024-11-12,JPM,high_volatility,0.0011,234.59390258789062,6861000,medium,market
2024-11-13,JPM,high_volatility,0.0067,236.1607208251953,11472600,medium,market
2024-11-14,JPM,high_volatility,0.0029,236.8560028076172,10172200,medium,market
2024-11-15,JPM,high_volatility,0.0142,240.2246856689453,11518800,medium,market
2024-11-18,JPM,high_volatility,-0.0011,239.95050048828125,9051400,medium,market
2024-11-19,JPM,high_volatility,-0.0079,238.0507049560547,6792700,medium,market
2024-11-20,JPM,high_volatility,-0.0095,235.78858947753906,9015300,medium,market
2024-11-21,JPM,high_volatility,0.0165,239.68606567382812,8783500,medium,market
2024-11-22,JPM,high_volatility,0.0155,243.39752197265625,7997300,medium,market
2024-11-25,JPM,high_volatility,0.007,245.10145568847656,10295400,medium,market
2024-11-26,JPM,high_volatility,-0.0013,244.7880859375,6212100,medium,market
2024-11-27,JPM,high_volatility,-0.0007,244.61180114746094,5472300,medium,market
2024-11-29,JPM,high_volatility,-0.0003,244.54327392578125,5494800,medium,market
2024-12-02,JPM,high_volatility,-0.0139,241.1452178955078,8899700,medium,market
2024-12-03,JPM,high_volatility,-0.0058,239.74485778808594,6657700,medium,market
2024-12-04,JPM,high_volatility,-0.0058,238.3542938232422,7346300,medium,market
2025-04-04,JPM,high_volatility,-0.0748,208.25930786132812,27170700,medium,market
2025-04-07,JPM,high_volatility,0.0198,212.37933349609375,22914400,medium,market
2025-04-08,JPM,high_volatility,0.0113,214.7859649658203,19485700,medium,market
2025-04-09,JPM,high_volatility,0.0806,232.0880889892578,24022400,medium,market
2025-04-10,JPM,high_volatility,-0.0309,224.9275665283203,18896400,medium,market
2025-04-11,JPM,high_volatility,0.04,233.9302215576172,20284500,medium,market
2025-04-14,JPM,high_volatility,-0.0063,232.4644317626953,13017800,medium,market
2025-04-15,JPM,high_volatility,-0.0068,230.88973999023438,10912900,medium,market
2025-04-16,JPM,high_volatility,-0.0151,227.40354919433594,9322300,medium,market
2025-04-17,JPM,high_volatility,0.0102,229.73097229003906,9557900,medium,market
2025-04-21,JPM,high_volatility,-0.0128,226.7895050048828,8716200,medium,market
2025-04-22,JPM,high_volatility,0.0288,233.32608032226562,10701400,medium,market
2025-04-23,JPM,high_volatility,0.0225,238.56524658203125,14126800,medium,market
2025-04-24,JPM,high_volatility,0.0156,242.2891082763672,9055200,medium,market
2025-04-25,JPM,high_volatility,-0.0045,241.2095947265625,8588600,medium,market
2025-04-28,JPM,high_volatility,-0.0014,240.88275146484375,7394300,medium,market
2025-04-29,JPM,high_volatility,0.0058,242.26930236816406,7216800,medium,market
2025-04-30,JPM,high_volatility,0.0,242.26930236816406,12991700,medium,market
2025-05-01,JPM,high_volatility,0.0093,244.5175018310547,8689600,medium,market
2025-05-02,JPM,high_volatility,0.0228,250.08348083496094,7165000,medium,market
2025-05-06,JPM,high_volatility,-0.0131,246.8548126220703,6369900,medium,market
2025-05-07,JPM,high_volatility,0.0006,246.99346923828125,8724100,medium,market
2023-11-14,BAC,large_gain,0.0549,27.772916793823242,66676300,medium,market
2023-12-14,BAC,large_gain,0.0593,32.51663589477539,107190000,medium,market
2024-07-16,BAC,large_gain,0.0535,42.83608627319336,75953300,medium,market
2024-11-06,BAC,large_gain,0.0843,44.36592483520508,110086700,medium,market
2025-03-04,BAC,large_drop,-0.0634,41.92082595825195,78278100,medium,market
